theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,1.245448245244028372e-05,-6.842633843561776371e-06,1.421041065821814894e-05
-4.979057352367505018e+00,1.259300195049102759e-05,-6.859027291461754820e-06,1.433980311964177685e-05
-4.958134843548644533e+00,1.279820157389799661e-05,-7.050871403873493661e-06,1.461193864892972055e-05
-4.937234616421816824e+00,1.298703195638287393e-05,-7.273789694919265185e-06,1.488526168940350518e-05
-4.916356670987021893e+00,1.326198674000696092e-05,-7.698996147687800070e-06,1.533475901259070986e-05
-4.895507373441983390e+00,1.352578381490119996e-05,-8.180209328557107125e-06,1.580704439376495293e-05
-4.874686723786702203e+00,1.389163884507469507e-05,-8.896020018455157833e-06,1.649596320227294646e-05
-4.853913820614347507e+00,1.425282117984685084e-05,-9.712470051542878308e-06,1.724746317829982476e-05
-4.833195030122644731e+00,1.473384495844451198e-05,-1.081467468527368688e-05,1.827685355327279273e-05
-4.812549450904764825e+00,1.520892217785131434e-05,-1.208416308988334409e-05,1.942519784699338751e-05
-4.791992998455015140e+00,1.581118381292937012e-05,-1.371077571381714070e-05,2.092794553320601693e-05
-4.771538405168844754e+00,1.638489859432433422e-05,-1.559236282601642951e-05,2.261828199586411162e-05
-4.751198403441700080e+00,1.706764576339060750e-05,-1.791755792554595756e-05,2.474557362276898575e-05
-4.730979359471305656e+00,1.765977766830829096e-05,-2.059360178641438205e-05,2.712865978686543686e-05
-4.710884456356523309e+00,1.829721523103128156e-05,-2.379021544783892886e-05,3.001270458098165265e-05
-4.690910510998490324e+00,1.872248537061173903e-05,-2.740224947668072766e-05,3.318756898049357904e-05
-4.671051157199483939e+00,1.906337985662791661e-05,-3.153855256486411948e-05,3.685230996077158016e-05
-4.651293662564055964e+00,1.899979489702140727e-05,-3.603459306138641881e-05,4.073676598882880061e-05
-4.631618928499036336e+00,1.865821740266699499e-05,-4.086778781351224827e-05,4.492555127558754458e-05
-4.612004673312390501e+00,1.768592301232274622e-05,-4.575366810746434514e-05,4.905293077977917630e-05
-4.592425432213225633e+00,1.625281937799072948e-05,-5.047973261353923318e-05,5.303166546949103006e-05
-4.572852557311784416e+00,1.406462786512636858e-05,-5.465090956621258394e-05,5.643169032909465806e-05
-4.553260583817172247e+00,1.141539336813588238e-05,-5.794861539381999027e-05,5.906228264984475057e-05
-4.533617680740769984e+00,8.168461396585704600e-06,-6.005425818396516516e-05,6.060724121434548560e-05
-4.513888833995098437e+00,4.749998341627893732e-06,-6.079586369085563405e-05,6.098114074172904627e-05
-4.494051761888124830e+00,1.154278030858998807e-06,-6.017708912578399977e-05,6.018815841529855923e-05
-4.474074633431230907e+00,-2.203673326809022536e-06,-5.832405225569013072e-05,5.836566839894633316e-05
-4.453928800734658466e+00,-5.341143824674562781e-06,-5.553623724131839226e-05,5.579248573311516483e-05
-4.433588799007513792e+00,-7.999647478510913431e-06,-5.208185961592101866e-05,5.269264142964319485e-05
-4.413035529656626821e+00,-1.027729181038100769e-05,-4.830636756129778550e-05,4.938752751376532853e-05
-4.392249894088824824e+00,-1.207313154581487116e-05,-4.441103877669353844e-05,4.602282988417299932e-05
-4.371219159908662277e+00,-1.352553145230425475e-05,-4.062768205519049988e-05,4.281995504720807034e-05
-4.349930594720690102e+00,-1.461591022589567661e-05,-3.703273913987043745e-05,3.981266883710678326e-05
-4.328377832327185537e+00,-1.547005579751140967e-05,-3.374031512510377852e-05,3.711780558060273096e-05
-4.306560872728148581e+00,-1.609337699314559715e-05,-3.074150676760970365e-05,3.469923661100487858e-05
-4.284482899022441060e+00,-1.657778490725166567e-05,-2.807995501714730355e-05,3.260838582628887661e-05
-4.262153460506648450e+00,-1.692809878588333414e-05,-2.571079857062148085e-05,3.078320470067559940e-05
-4.239578923378493513e+00,-1.720405478453158649e-05,-2.364757365950670000e-05,2.924358461288491430e-05
-4.216778386231148978e+00,-1.740399744537681837e-05,-2.183919505336145839e-05,2.792578678672188178e-05
-4.193770947657784021e+00,-1.756407744146488886e-05,-2.029036956472981193e-05,2.683646611316567863e-05
-4.170575706251571368e+00,-1.767734137524157886e-05,-1.895681010332404541e-05,2.592005106843573426e-05
-4.147224493001128387e+00,-1.776498881399009779e-05,-1.784323886545834939e-05,2.517888005394593843e-05
-4.123742772697350567e+00,-1.781582677278670544e-05,-1.691395983670656414e-05,2.456594636800435395e-05
-4.100162376328855274e+00,-1.784215990527428003e-05,-1.617554491486971019e-05,2.408300071374712203e-05
-4.076511951785398935e+00,-1.782973526487916489e-05,-1.559900367904380554e-05,2.369025908246884926e-05
-4.052826513154463406e+00,-1.778565864497511803e-05,-1.519149804508055172e-05,2.339040970759735164e-05
