theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,5.406465549325407981e-08,-3.730771802601395848e-08,6.568753913728855023e-08
-4.978694479097256043e+00,5.446557819569856223e-08,-3.701558252503881635e-08,6.585326535457230223e-08
-4.957402730810422042e+00,5.797004010155148990e-08,-3.938718277455658539e-08,7.008477521039655160e-08
-4.936120531820173518e+00,5.755850596145251075e-08,-4.163008256637586190e-08,7.103552198018844343e-08
-4.914847882126511358e+00,6.098787489842530428e-08,-4.699201842465564754e-08,7.699201699039421056e-08
-4.893591147927157436e+00,6.052992758872240164e-08,-5.287845139534397276e-08,8.037414233362452095e-08
-4.872366244716422656e+00,6.347739459992377030e-08,-6.217307735312260775e-08,8.885308758142172502e-08
-4.851195454186338019e+00,6.216350160552033864e-08,-7.316823413816564425e-08,9.600985063396859484e-08
-4.830107424226661728e+00,6.333267599245573365e-08,-8.799660141297256676e-08,1.084178477401158555e-07
-4.809133985826012037e+00,5.911073674980116266e-08,-1.060667661848905545e-07,1.214258542816336818e-07
-4.788300603775282660e+00,5.542939366757574520e-08,-1.283985170038211563e-07,1.398520534391098548e-07
-4.767635925964230914e+00,4.396390081614261224e-08,-1.553847358929753290e-07,1.614844906593240629e-07
-4.747159050986027751e+00,2.953594546717397407e-08,-1.863554685381056124e-07,1.886815643583038057e-07
-4.726879528137258646e+00,3.367856877637779533e-09,-2.220890813475762116e-07,2.221146157139565079e-07
-4.706800540516785425e+00,-3.085468436303528961e-08,-2.592734690646617563e-07,2.611029362300750976e-07
-4.686915721926883549e+00,-8.161057341027344592e-08,-2.979748909837098836e-07,3.089487357946418295e-07
-4.667205973774382954e+00,-1.454542054209658217e-07,-3.311091720803460703e-07,3.616492910408877443e-07
-4.647645831268389927e+00,-2.282754424006346325e-07,-3.569157787097765322e-07,4.236726928835650605e-07
-4.628209829618007198e+00,-3.242867935663676943e-07,-3.644351001715525071e-07,4.878266769238901830e-07
-4.608862954735756468e+00,-4.327730493969283998e-07,-3.507992142696517729e-07,5.570929913546941117e-07
-4.589563826336433117e+00,-5.423096425261064724e-07,-3.048629603578471032e-07,6.221263320057620028e-07
-4.570280613431419781e+00,-6.432484980223307502e-07,-2.278608424906754535e-07,6.824142391162020202e-07
-4.550965569537787303e+00,-7.200571801035948738e-07,-1.167283175303642370e-07,7.294572247446798255e-07
-4.531583680568055605e+00,-7.606668421071086667e-07,1.659726419263781247e-08,7.608478914079220277e-07
-4.512090383138160909e+00,-7.562241215453013865e-07,1.628947125335381833e-07,7.735693953216781657e-07
-4.492450663160620472e+00,-7.047191784200397303e-07,3.030717241614411250e-07,7.671255375876913883e-07
-4.472629506547955991e+00,-6.122330115469291085e-07,4.247629051453334923e-07,7.451528608381812119e-07
