theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,-2.755320353268568037e-06,-3.208951989108754703e-06,4.229558265060438166e-06
-4.978503493165545635e+00,-2.751841664879369281e-06,-3.278610173159298304e-06,4.280410870011160895e-06
-4.957020758947001227e+00,-2.808369322337966963e-06,-3.357039577167597430e-06,4.376831385068268307e-06
-4.935544390926181357e+00,-2.872503061250123760e-06,-3.434430209381389178e-06,4.477341253467600232e-06
-4.914068022905360600e+00,-3.009860885564800366e-06,-3.527162630234670106e-06,4.636824211739850312e-06
-4.892607570378849857e+00,-3.167002417588567728e-06,-3.626165721470897552e-06,4.814455540617483949e-06
-4.871175765742094654e+00,-3.415328660594240974e-06,-3.748962937303683057e-06,5.071409366749357069e-06
-4.849801256884853196e+00,-3.704593465651366197e-06,-3.885647326266432153e-06,5.368637433266310006e-06
-4.828519057894604671e+00,-4.112268925382522866e-06,-4.055174607249985308e-06,5.775395814137054235e-06
-4.807360999759968223e+00,-4.591129739613582578e-06,-4.241176839059335180e-06,6.250284254826944669e-06
-4.786371645865009405e+00,-5.224585705339753436e-06,-4.462784545467002317e-06,6.871152864818218231e-06
-4.765576461000622821e+00,-5.966603081712188933e-06,-4.691358708441839723e-06,7.590072388717414642e-06
-4.744997726858840359e+00,-6.904608365706129536e-06,-4.944677387660097528e-06,8.492552687609077478e-06
-4.724648175835110209e+00,-7.988106820751758236e-06,-5.175348375511627447e-06,9.518092318718683590e-06
-4.704527807929433258e+00,-9.300967394665349953e-06,-5.397846871346701275e-06,1.075382468348518908e-05
-4.684627073845222256e+00,-1.077538324049479893e-05,-5.539640460483496670e-06,1.211596056493095465e-05
-4.664923691890446200e+00,-1.247227755811763860e-05,-5.610898748879360007e-06,1.367625285876584285e-05
-4.645392197274208712e+00,-1.428204974824135722e-05,-5.512351496387660898e-06,1.530891779424555744e-05
-4.625997575909029713e+00,-1.620980868513773461e-05,-5.257342915380529100e-06,1.704105490099332282e-05
-4.606701630608568188e+00,-1.807579998664247403e-05,-4.736203845823183825e-06,1.868598865530787058e-05
-4.587466164186482231e+00,-1.980923710410327780e-05,-3.994458772164458635e-06,2.020795822266820626e-05
-4.568243430159842688e+00,-2.118224371467173630e-05,-2.958118216156435665e-06,2.138779820758805641e-05
-4.548992048243446717e+00,-2.210333562591889072e-05,-1.744304673441850587e-06,2.217205548851541126e-05
-4.529670638152091477e+00,-2.241523816337576136e-05,-3.514099669625162849e-07,2.241799257038278379e-05
-4.510231453402846924e+00,-2.213524658145615831e-05,1.045333112870139387e-06,2.215991567083975576e-05
-4.490639479908234755e+00,-2.127938920845432873e-05,2.415498071665448870e-06,2.141604622751599606e-05
-4.470853337383050352e+00,-1.999785896866038904e-05,3.612156804895979084e-06,2.032146746949115015e-05
-4.450834828640951812e+00,-1.841663045828075346e-05,4.643109847772090329e-06,1.899291305975343234e-05
-4.430555305792182708e+00,-1.669837129156803577e-05,5.441720956393207226e-06,1.756268575014403941e-05
-4.409982937848123896e+00,-1.495201286161318421e-05,6.059316213698669195e-06,1.613313365690117939e-05
-4.389098626215605314e+00,-1.327020587874964444e-05,6.485677643771244580e-06,1.477032086866482828e-05
-4.367876906103732360e+00,-1.170228736858310477e-05,6.780546027584932914e-06,1.352476743197817461e-05
-4.346308228215918668e+00,-1.027606297914947614e-05,6.952334130498153891e-06,1.240695048001465696e-05
-4.324376677057856000e+00,-9.000241000952276260e-06,7.046561465055371268e-06,1.143058907301044217e-05
-4.302075886431818930e+00,-7.870135292857108355e-06,7.071867912600282580e-06,1.058065902017168784e-05
-4.279402673238948296e+00,-6.879324882902437990e-06,7.056482869908601779e-06,9.854900371786321064e-06
-4.256357037479241434e+00,-6.013876145516405813e-06,7.006035654436952406e-06,9.233159907900061764e-06
-4.232945345350423771e+00,-5.266391175003566807e-06,6.936880602855428912e-06,8.709488418180905402e-06
-4.209177146149079896e+00,-4.623998635603735788e-06,6.853873977282394514e-06,8.267826309165789226e-06
-4.185081087764966234e+00,-4.082661143911537122e-06,6.767190977067609290e-06,7.903353448765298623e-06
-4.160689001186702818e+00,-3.632737313334170277e-06,6.682337304179478832e-06,7.605945847461644252e-06
-4.136045449798353424e+00,-3.273114809114000774e-06,6.605365554908833833e-06,7.371847439252759832e-06
-4.111210912478294510e+00,-2.996251441800268198e-06,6.540191801226077206e-06,7.193860681116571903e-06
-4.086255417401485346e+00,-2.802414307249515966e-06,6.486689153462065807e-06,7.066163182599110487e-06
-4.061242626545163326e+00,-2.684975500718185876e-06,6.443112321600589873e-06,6.980171189033849223e-06
-4.036242568084287718e+00,-2.644736870630973879e-06,6.402156729260847537e-06,6.926921675672020349e-06
-4.011302988501787681e+00,-2.676745468003597675e-06,6.360117231452022340e-06,6.900438935190336273e-06
-3.986458901885143291e+00,-2.788915238246166514e-06,6.324525960129297367e-06,6.912139815315593012e-06
-3.961729406827524613e+00,-2.975277341950762283e-06,6.286548629456471115e-06,6.955067859629166012e-06
-3.937120869526656186e+00,-3.239814956638535287e-06,6.243416191864526069e-06,7.033963797041814395e-06
-3.912623740685951201e+00,-3.580265433811291671e-06,6.190398516991990110e-06,7.151177132173456976e-06
-3.888231654107687341e+00,-4.006835858187210972e-06,6.133706528999027288e-06,7.326464998779435005e-06
-3.863947792890725541e+00,-4.529341898281320958e-06,6.077655901511509931e-06,7.579765120945656742e-06
-3.839794438727099912e+00,-5.174056786927394230e-06,6.036192674703973543e-06,7.950250665262028802e-06
-3.815809788803151026e+00,-5.974481443142091319e-06,6.016918238553140707e-06,8.479253127716063207e-06
-3.792063871293840371e+00,-6.985442890557654738e-06,6.031767937505113328e-06,9.229227314849124545e-06
-3.768642629868436789e+00,-8.275930182814287756e-06,6.078578826418378983e-06,1.026840498518627652e-05
-3.745638374393934544e+00,-9.939086612575920976e-06,6.151440326599792549e-06,1.168869799353221560e-05
-3.723140231638464304e+00,-1.208564235639642061e-05,6.221009819758667469e-06,1.359278170001479154e-05
-3.701224595974709874e+00,-1.485119992139516398e-05,6.247117244129185395e-06,1.611162974273999226e-05
-3.679936030786738144e+00,-1.838806232020336401e-05,6.156528555341841089e-06,1.939133001483967899e-05
-3.659296817766581444e+00,-2.287366011538930768e-05,5.860789997313986532e-06,2.361256416543885985e-05
-3.639294224518792031e+00,-2.849782407186770213e-05,5.228671064590646744e-06,2.897352201463967346e-05
-3.619899603153613477e+00,-3.547325650288257748e-05,4.110665455906807247e-06,3.571063563435529920e-05
-3.601068390286980669e+00,-4.401040108253558567e-05,2.305349130438116675e-06,4.407073902328914860e-05
-3.582746473238241691e+00,-5.432697859456917666e-05,-4.062466577655262204e-07,5.432849749037537112e-05
-3.564867006931298210e+00,-6.658927668468095362e-05,-4.295742852870413836e-06,6.672769422096782113e-05
-3.547372695586636482e+00,-8.090755412316260058e-05,-9.628898684847323619e-06,8.147851252984150618e-05
-3.530199877227021776e+00,-9.721302364293174807e-05,-1.668513784049234020e-05,9.863450608462251022e-05
-3.513284889875214478e+00,-1.152204703733635482e-04,-2.564611101358119929e-05,1.180401618229155020e-04
-3.496564071553980302e+00,-1.342430201475508457e-04,-3.656822821843282585e-05,1.391345527659148141e-04
-3.479986492681528709e+00,-1.531980922057603670e-04,-4.920992396364454316e-05,1.609076507565514386e-04
-3.463491674379484131e+00,-1.704401768317135527e-04,-6.298173029790632156e-05,1.817045740473915516e-04
-3.447022320868335044e+00,-1.841811128542758416e-04,-7.688115413960380220e-05,1.995830508687473958e-04
-3.430527502566290909e+00,-1.926112764825423486e-04,-8.963755050596470273e-05,2.124476271671296929e-04
-3.413956289891562967e+00,-1.946742355357855504e-04,-9.996267253882251409e-05,2.188391964035382047e-04
-3.397254570163499743e+00,-1.901419144511843793e-04,-1.068992768220292962e-04,2.181316185614418568e-04
-3.380368230701449317e+00,-1.800229588601117315e-04,-1.101099388809719361e-04,2.110271649743721055e-04
-3.363252708121347023e+00,-1.658197206173402604e-04,-1.098201656229017887e-04,1.988885329099049902e-04
-3.345857072841402768e+00,-1.494307313502455661e-04,-1.067351768142543733e-04,1.836353491064272240e-04
-3.328136761477550998e+00,-1.323794698691926951e-04,-1.016880863365561967e-04,1.669275020649365639e-04
-3.310050393744587982e+00,-1.159410618129186278e-04,-9.554921659097696796e-05,1.502397504173128256e-04
-3.291562955555033643e+00,-1.008044416569949447e-04,-8.898323188380647970e-05,1.344602209364009933e-04
-3.272652165216854758e+00,-8.742534822279898190e-05,-8.254759280437913311e-05,1.202384987833566004e-04
-3.253298924136879933e+00,-7.587711006635799733e-05,-7.656326367092940166e-05,1.077927139280130759e-04
-3.233506415413971880e+00,-6.617553008254617182e-05,-7.129567360000994575e-05,9.727421989296613093e-05
-3.213296920740162932e+00,-5.814066668487308806e-05,-6.683156073753100408e-05,8.858213495494340634e-05
-3.192708637301795438e+00,-5.163220921531319483e-05,-6.326167616255891639e-05,8.165736157475545506e-05
-3.171790584821341241e+00,-4.641119691465670638e-05,-6.054063148136871466e-05,7.628346648661119488e-05
-3.150611518234216923e+00,-4.231477505527437004e-05,-5.866856360322951074e-05,7.233630169731278248e-05
-3.129241784025267759e+00,-3.912181697766451560e-05,-5.752654821359707438e-05,6.956881710224191516e-05
-3.107749818820024768e+00,-3.669368003708465691e-05,-5.706504816771484911e-05,6.784427667126800463e-05
-3.086194509947430387e+00,-3.485828662329974455e-05,-5.713126168605716097e-05,6.692593823139771178e-05
-3.064620102481665942e+00,-3.352242626230387819e-05,-5.766320985761315963e-05,6.669931659016257997e-05
-3.043055880932258539e+00,-3.256938665193350591e-05,-5.850203560839872672e-05,6.695709908000418661e-05
-3.021515214314428821e+00,-3.195698142614370607e-05,-5.960903630087462384e-05,6.763494563160291236e-05
-3.000000012487494150e+00,-3.162268949381541190e-05,-6.085171274510988435e-05,6.857787861136879044e-05
-2.978504864183388889e+00,-3.156927632517181201e-05,-6.224335496275064665e-05,6.979150696692277048e-05
-2.957021493345072916e+00,-3.185695313732139631e-05,-6.381991212644304019e-05,7.132914304139930327e-05
-2.935543215464935685e+00,-3.248274054688711645e-05,-6.559977797830167368e-05,7.320149796444644418e-05
-2.914069393923204299e+00,-3.354416694492101805e-05,-6.766784742164114750e-05,7.552581486291450952e-05
