theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,5.244583013558351201e-03,-5.410310812294483185e-03,7.535058995902778507e-03
-4.979057352367505018e+00,5.021174140160948596e-03,-5.268774543343702869e-03,7.278198605040101833e-03
-4.958134843548644533e+00,5.317644957203145582e-03,-5.408397344758779368e-03,7.584728718264210912e-03
-4.937234616421816824e+00,5.105171730264839412e-03,-5.308531821001230555e-03,7.365004310255217866e-03
-4.916356670987021893e+00,5.365813679129975873e-03,-5.445209641304867183e-03,7.644754049470646462e-03
-4.895507373441983390e+00,5.154985943014120733e-03,-5.403133143284699277e-03,7.467779310928703701e-03
-4.874686723786702203e+00,5.372396772500218944e-03,-5.540015062362682423e-03,7.717150638180919446e-03
-4.853913820614347507e+00,5.155593182369157951e-03,-5.555790786563260392e-03,7.579376776896142552e-03
-4.833195030122644731e+00,5.322979942032295304e-03,-5.694138153069993810e-03,7.794698504081187460e-03
-4.812549450904764825e+00,5.094109196783747594e-03,-5.762814825241703749e-03,7.691552718325625482e-03
-4.791992998455015140e+00,5.205344459859699568e-03,-5.902315745493624290e-03,7.869748541427103866e-03
-4.771538405168844754e+00,4.959249511224831340e-03,-6.014727215032752115e-03,7.795582029960263122e-03
-4.751198403441700080e+00,5.009488878408219735e-03,-6.151922052817010086e-03,7.933544212193683470e-03
-4.730979359471305656e+00,4.742119554998125951e-03,-6.295735862605819459e-03,7.881877182854137021e-03
-4.710884456356523309e+00,4.728639654519899843e-03,-6.426520449699970640e-03,7.978734114676963585e-03
-4.690910510998490324e+00,4.437176825864831524e-03,-6.589875195925010837e-03,7.944494526517064184e-03
-4.671051157199483939e+00,4.358820091910297310e-03,-6.709562642954108001e-03,8.001096390705852296e-03
-4.651293662564055964e+00,4.041191627748492478e-03,-6.879258895202017624e-03,7.978435480681698305e-03
-4.631618928499036336e+00,3.898698379421924789e-03,-6.981520325785911876e-03,7.996341357962963650e-03
-4.612004673312390501e+00,3.554070961843358318e-03,-7.144210982227289751e-03,7.979421718420150189e-03
