theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,3.017814154960573626e-04,-4.323286478980802906e-03,4.333806410313805445e-03
-4.978694479097256043e+00,2.469253533770545046e-04,-4.099541343748569489e-03,4.106971068712830623e-03
-4.957402730810422042e+00,3.542223594894704296e-04,-4.455168749420689370e-03,4.469228352386684505e-03
-4.936120531820173518e+00,2.668495228415570424e-04,-4.271299990180593871e-03,4.279627585895472153e-03
-4.914847882126511358e+00,3.340590735136244899e-04,-4.585880087688565254e-03,4.598031279064471871e-03
-4.893591147927157436e+00,1.915432051016698522e-04,-4.452317308347959052e-03,4.456435595140519242e-03
-4.872366244716422656e+00,2.102625781285146931e-04,-4.727873261659764660e-03,4.732546453029128769e-03
-4.851195454186338019e+00,4.913891036022296200e-06,-4.640070058835240978e-03,4.640072660769913905e-03
-4.830107424226661728e+00,-3.320060554520191351e-05,-4.873857260323488129e-03,4.873970339899140990e-03
-4.809133985826012037e+00,-3.029773181949097752e-04,-4.818470853094298373e-03,4.827986807921068844e-03
-4.788300603775282660e+00,-4.027818302767208073e-04,-5.003232195471915382e-03,5.019418851282266350e-03
-4.767635925964230914e+00,-7.308197471922120306e-04,-4.964331030630721696e-03,5.017836195470032866e-03
-4.747159050986027751e+00,-8.922427883729912518e-04,-5.088646224556634193e-03,5.166276956580831067e-03
-4.726879528137258646e+00,-1.269003340544608890e-03,-5.041521526156710412e-03,5.198779546875868969e-03
-4.706800540516785425e+00,-1.486287902270515444e-03,-5.096776204971740012e-03,5.309065775821752292e-03
-4.686915721926883549e+00,-1.898373819690627731e-03,-5.023551800359900114e-03,5.370278935975856746e-03
-4.667205973774382954e+00,-2.162850882786397817e-03,-4.996112476174647925e-03,5.444177055878865468e-03
-4.647645831268389927e+00,-2.594829183250952492e-03,-4.875680763059510835e-03,5.523169506136796185e-03
-4.628209829618007198e+00,-2.893203117239933914e-03,-4.759387695230543613e-03,5.569775175993980573e-03
-4.608862954735756468e+00,-3.329202487993125799e-03,-4.577958741440223481e-03,5.660503108769446463e-03
-4.589563826336433117e+00,-3.645857827415546846e-03,-4.366344073787331581e-03,5.688342453511827795e-03
