theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,-3.279473492875695315e-03,-3.125446227689584241e-03,4.530271571622761922e-03
-4.978503493165545635e+00,-3.173997858539223671e-03,-3.082204353995621291e-03,4.424279160021566890e-03
-4.957020758947001227e+00,-3.389402758330106735e-03,-3.266839931408564105e-03,4.707472166207809540e-03
-4.935544390926181357e+00,-3.313998358013729197e-03,-3.221079769233862328e-03,4.621465135288306547e-03
-4.914068022905360600e+00,-3.528639728513856526e-03,-3.384455363266169938e-03,4.889359512204792708e-03
-4.892607570378849857e+00,-3.499305085279047576e-03,-3.325944642225901315e-03,4.827736927693034377e-03
-4.871175765742094654e+00,-3.716512055446704026e-03,-3.463228993738690781e-03,5.080001665487225877e-03
-4.849801256884853196e+00,-3.736143582500517368e-03,-3.386012852812806794e-03,5.042207047362625046e-03
-4.828519057894604671e+00,-3.957610654955108671e-03,-3.492241934873163787e-03,5.278109114815727684e-03
-4.807360999759968223e+00,-4.023169182861844641e-03,-3.390577000876267896e-03,5.261359393996987988e-03
-4.786371645865009405e+00,-4.245319667582710468e-03,-3.457955465031166756e-03,5.475417342824516823e-03
-4.765576461000622821e+00,-4.348067194223403584e-03,-3.329868599151571389e-03,5.476651642481693630e-03
-4.744997726858840359e+00,-4.569180496037006552e-03,-3.361368807964026841e-03,5.672407836934725486e-03
-4.724648175835110209e+00,-4.701547557488083839e-03,-3.208965505473315803e-03,5.692276262677329127e-03
-4.704527807929433258e+00,-4.913808312267065048e-03,-3.197635329949358955e-03,5.862626018521499560e-03
-4.684627073845222256e+00,-5.064309667795896183e-03,-3.017111083803077597e-03,5.894929321318310642e-03
-4.664923691890446200e+00,-5.264210437114040346e-03,-2.963046294947465319e-03,6.040824022616641392e-03
-4.645392197274208712e+00,-5.423128341014186657e-03,-2.755092480219900521e-03,6.082832857943371550e-03
-4.625997575909029713e+00,-5.605705734342336828e-03,-2.656533825211227027e-03,6.203314335460516707e-03
-4.606701630608568188e+00,-5.765475751832127745e-03,-2.419492478171984297e-03,6.252571830606590622e-03
-4.587466164186482231e+00,-5.926752633725603653e-03,-2.273304325838883515e-03,6.347779874826407071e-03
-4.568243430159842688e+00,-6.077070844670136307e-03,-2.002786387068529895e-03,6.398589169759754530e-03
-4.548992048243446717e+00,-6.209265797709424828e-03,-1.804807087561736577e-03,6.466243915127014089e-03
-4.529670638152091477e+00,-6.337954538563886873e-03,-1.497490905846158692e-03,6.512460882492463951e-03
-4.510231453402846924e+00,-6.432963411013284914e-03,-1.247361511923372832e-03,6.552780248784743043e-03
-4.490639479908234755e+00,-6.529513653367757277e-03,-9.043621869447330489e-04,6.591844924957762641e-03
-4.470853337383050352e+00,-6.580641912296414549e-03,-6.063780204082528606e-04,6.608520430588562741e-03
-4.450834828640951812e+00,-6.634117073069016254e-03,-2.321586299027937118e-04,6.638177985609013988e-03
-4.430555305792182708e+00,-6.632352682451407230e-03,1.063065724641395094e-04,6.633204594445240611e-03
-4.409982937848123896e+00,-6.631453490505615986e-03,5.055984617987026915e-04,6.650699602396152425e-03
-4.389098626215605314e+00,-6.570119597017765219e-03,8.745061388860146060e-04,6.628064008899295714e-03
-4.367876906103732360e+00,-6.514529449244340319e-03,1.287284924183040944e-03,6.640496699878760054e-03
-4.346308228215918668e+00,-6.390215083956718618e-03,1.671056946118672747e-03,6.605095013427091967e-03
-4.324376677057856000e+00,-6.268016730124751842e-03,2.080158563330769539e-03,6.604172421864991892e-03
-4.302075886431818930e+00,-6.090053357183933258e-03,2.455570106394589121e-03,6.566473516337823814e-03
-4.279402673238948296e+00,-5.919920063267151457e-03,2.841464499942958268e-03,6.566534402552768636e-03
-4.256357037479241434e+00,-5.697449405367175854e-03,3.190477363144358057e-03,6.529936870403523635e-03
-4.232945345350423771e+00,-5.489699495956301863e-03,3.537201819320519650e-03,6.530589350625812077e-03
-4.209177146149079896e+00,-5.250192200765013868e-03,3.842037101276218718e-03,6.505825638038322499e-03
-4.185081087764966234e+00,-5.037425784394145012e-03,4.136388329789042820e-03,6.518080004732525017e-03
-4.160689001186702818e+00,-4.805213818326592272e-03,4.385671718046069492e-03,6.505704900954699041e-03
-4.136045449798353424e+00,-4.616116499528288494e-03,4.622491666426260803e-03,6.532684038234018789e-03
-4.111210912478294510e+00,-4.428544593974947756e-03,4.814134382953246666e-03,6.541245835309766887e-03
-4.086255417401485346e+00,-4.293303160617749185e-03,4.993906027326981169e-03,6.585707967921376402e-03
-4.061242626545163326e+00,-4.173689723635713375e-03,5.128544615581631314e-03,6.612235309121545362e-03
-4.036242568084287718e+00,-4.113407867650190758e-03,5.252739290396372072e-03,6.671686019179880363e-03
-4.011302988501787681e+00,-4.079884399349490744e-03,5.332900304347276341e-03,6.714557496079889311e-03
-3.986458901885143291e+00,-4.113067314028740276e-03,5.419362538183728970e-03,6.803441265271626195e-03
-3.961729406827524613e+00,-4.187521105632185763e-03,5.478572860981027054e-03,6.895657590338491114e-03
-3.937120869526656186e+00,-4.329192141691843958e-03,5.539800816526015310e-03,7.030739483615412733e-03
-3.912623740685951201e+00,-4.518566792830825199e-03,5.570451713477571863e-03,7.172682772398250931e-03
-3.888231654107687341e+00,-4.772556821505228274e-03,5.592493666335940014e-03,7.352093852944458635e-03
-3.863947792890725541e+00,-5.076538647214571230e-03,5.577430020396907662e-03,7.541814786182951189e-03
-3.839794438727099912e+00,-5.439181796585520166e-03,5.541213074078162569e-03,7.764646865675350895e-03
-3.815809788803151026e+00,-5.849528079852461988e-03,5.459917538488904404e-03,8.001729705762445841e-03
-3.792063871293840371e+00,-6.308483596270283295e-03,5.342783887560168844e-03,8.266940483249156368e-03
-3.768642629868436789e+00,-6.799519869188467257e-03,5.178819938252369331e-03,8.547142587106466502e-03
-3.745638374393934544e+00,-7.321274435768524574e-03,4.968419795234997605e-03,8.847952001764063795e-03
-3.723140231638464304e+00,-7.860873546451329491e-03,4.705688357353210796e-03,9.161704853891979375e-03
-3.701224595974709874e+00,-8.402642607688904502e-03,4.398245799044768131e-03,9.484143024088361948e-03
-3.679936030786738144e+00,-8.949333863953749107e-03,4.037088031570116621e-03,9.817772475625824100e-03
-3.659296817766581444e+00,-9.482811981191238346e-03,3.630130730258921551e-03,1.015389443461937186e-02
-3.639294224518792031e+00,-9.999143735816081943e-03,3.191423035847643953e-03,1.049609720054311274e-02
-3.619899603153613477e+00,-1.049286819373567922e-02,2.704143330144385352e-03,1.083571290137728960e-02
-3.601068390286980669e+00,-1.096359863877296482e-02,2.194318066661556706e-03,1.118103424955767256e-02
-3.582746473238241691e+00,-1.140795623262723206e-02,1.650988170877099081e-03,1.152680473270518285e-02
-3.564867006931298210e+00,-1.183846561859051329e-02,1.076996846434970711e-03,1.188735422244077515e-02
-3.547372695586636482e+00,-1.223021059607466016e-02,4.615924088284373392e-04,1.223891820285702078e-02
-3.530199877227021776e+00,-1.261198660358786583e-02,-1.375566326411596153e-04,1.261273673380457726e-02
-3.513284889875214478e+00,-1.297414327661196298e-02,-7.604667936296512611e-04,1.299641117794711649e-02
-3.496564071553980302e+00,-1.331563542286554915e-02,-1.429534365888684901e-03,1.339215125429550103e-02
-3.479986492681528709e+00,-1.362392570202549356e-02,-2.149310459693272793e-03,1.379242136053194026e-02
-3.463491674379484131e+00,-1.394183638816078562e-02,-2.866032401410241980e-03,1.423337428722288439e-02
-3.447022320868335044e+00,-1.422610431909561088e-02,-3.587374207563698379e-03,1.467144498005851054e-02
-3.430527502566290909e+00,-1.450012028217315639e-02,-4.273770982399583210e-03,1.511683189717640680e-02
-3.413956289891562967e+00,-1.470986101776361465e-02,-4.935739530871311939e-03,1.551584789428303753e-02
-3.397254570163499743e+00,-1.490109941611687285e-02,-5.540788096065322847e-03,1.589789597822610645e-02
-3.380368230701449317e+00,-1.502383764212330240e-02,-6.114126633231838602e-03,1.622030338754722537e-02
-3.363252708121347023e+00,-1.514749908819794551e-02,-6.643565619985262495e-03,1.654036555744786696e-02
-3.345857072841402768e+00,-1.522185029461979762e-02,-7.163996792708834070e-03,1.682342344583168461e-02
-3.328136761477550998e+00,-1.533381234233578000e-02,-7.672437125196059082e-03,1.714619760734303194e-02
-3.310050393744587982e+00,-1.541217127814888989e-02,-8.204318924496571686e-03,1.745983598210046686e-02
