name,NS,R,Z,Theta,Phi
CMPU1T,0.162790684,1.296678125,0.760123821,89.96635856,45.079
CMPU2T,0.153732382,1.297245616,0.85953515,89.42318263,45.084
CMPU3T,0.132080877,1.547865571,1.147169079,24.4317144,45.05225
CMPU4T,0.131169544,1.701772508,1.19615423,-0.077815654,44.912
CMPU5T,0.132682468,1.862757245,0.989422244,-29.22187723,44.921
CMPU6T,0.128075593,1.949312661,0.939284988,-29.33554296,44.89925
CMPL1T,0.136171265,2.327904089,0.822905379,-47.70371698,45.40585376
CMPL2T,0.141815159,2.438768604,0.674901348,-55.83243344,45.44375651
CMPL3T,0.137718375,2.529205736,0.517288403,-64.10521082,45.46790786
CMPL4T,0.135956386,2.595435099,0.346745958,-73.21320317,45.50892437
CMPL5T,0.135046714,2.634976762,0.168969981,-81.43153951,45.53330053
CMPL6T,0.137421702,2.647873086,-0.012549414,-90.21986265,45.56932645
CMPL7T,0.129436796,2.633336891,-0.193696254,-98.95674526,45.5556025
CMPL8T,0.143060412,2.591415483,-0.371545433,-107.6350975,45.51227365
CMPL9T,0.133985749,2.523507388,-0.540583951,-116.1322091,45.49436534
CMPL10T,0.132214955,2.432077683,-0.697321057,-124.3000642,45.46473815
CMPH1T,0.141099021,1.298914562,-0.665595271,90.19103701,43.78064455
CMPH2T,0.133488485,1.29825104,-0.548686566,89.75155269,43.78064
CMPH3T,0.136524285,1.298731318,-0.345576546,90.02867563,43.77760944
CMPH4T,0.132181993,1.298905439,-0.185178147,90.00205168,43.73918092
CMPH5T,0.143321848,1.298919278,-0.024999069,90.06044636,43.76784404
CMPH6T,0.134156726,1.299288332,0.13464193,89.85120917,43.75850707
CMPH7T,0.136714416,1.299247999,0.294472587,90.01557708,43.74853476
CMPH8T,0.141716396,1.299300224,0.454426802,90.20034713,43.71602223
CMPD1T,0.137226334,1.904459288,-0.972349986,-148.2603477,44.95325
CMPD2T,0.137313749,1.86515377,-1.103259024,-88.66275445,45.0195
CMPD3T,0.141077629,1.763486539,-1.183732348,-168.6773605,45.04075
CMPD4T,0.140695839,1.497652431,-1.09122971,-153.7207123,44.983
CMPD5T,0.131474767,1.423194778,-1.156388825,117.1122927,45.95325
